Name	M1

Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	6	5	7	5	1		Shared breath moment
7	0.00	2.05	6	6	7	6	2		Shared breath moment
14	0.00	2.10	6	6	8	6	3		Shared breath moment
21	0.00	2.15	6	6	7	6	4		Shared breath moment
28	0.00	2.20	6	6	7	6	4		Internal fire (no shared breath)
35	0.00	2.25	6	6	7	6	5		Shared breath moment
42	0.00	2.30	7	6	7	6	6		Shared breath moment
49	0.00	2.35	7	7	7	7	7		Shared breath moment
56	0.00	2.40	6	7	7	7	8		Shared breath moment
63	0.00	2.45	7	7	6	8	9		Shared breath moment
70	0.00	2.50	7	7	6	7	10		Shared breath moment
77	0.00	2.55	8	7	6	7	11		Shared breath moment
84	0.00	2.60	7	7	6	7	12		Shared breath moment
