Name	M1

Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	8	10	8	10	1		Shared breath moment
7	0.00	2.20	8	10	8	10	2		Shared breath moment
14	0.00	2.40	8	10	8	10	3		Shared breath moment
21	0.00	2.60	8	10	8	10	4		Shared breath moment
28	0.00	2.80	8	10	8	10	4		Internal fire (no shared breath)
35	0.00	3.00	8	10	8	10	5		Shared breath moment
42	0.00	3.20	8	10	9	10	6		Shared breath moment
49	0.00	3.40	9	9	10	10	7		Shared breath moment
56	0.00	3.60	9	9	9	10	8		Shared breath moment
63	0.00	3.80	9	9	10	9	9		Shared breath moment
70	0.00	4.00	8	10	10	10	10		Shared breath moment
77	0.00	4.20	9	9	9	9	11		Shared breath moment
84	0.00	4.40	9	9	10	9	12		Shared breath moment
