beta_S	4.0
s_S	40
b_0	0.0

Day	M1_x	M1_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	9	5	8	6	1		Shared breath moment
7	0.00	2.05	9	5	8	6	2		Shared breath moment
14	0.00	2.10	9	5	8	6	2		Internal fire (no shared breath)
21	0.00	2.15	9	6	8	6	3		Shared breath moment
28	0.00	2.20	8	6	8	6	4		Shared breath moment
35	0.00	2.25	8	6	8	7	5		Shared breath moment
42	0.00	2.30	8	6	7	7	5		Internal fire (no shared breath)
49	0.00	2.35	7	7	7	7	6		Shared breath moment
56	0.00	2.40	7	7	7	6	6		Internal fire (no shared breath)
63	0.00	2.45	8	6	7	7	6		Internal fire (no shared breath)
70	0.00	2.50	7	6	8	6	7		Shared breath moment
77	0.00	2.55	8	7	8	6	7		Internal fire (no shared breath)
84	0.00	2.60	7	6	7	6	7		Internal fire (no shared breath)
91	0.00	2.65	7	8	8	7	8		Shared breath moment
98	0.00	2.70	8	7	8	7	9		Shared breath moment
105	0.00	2.75	8	8	6	8	10		Shared breath moment
112	0.00	2.80	7	7	8	8	11		Shared breath moment
119	0.00	2.85	7	7	8	8	12		Shared breath moment
126	0.00	2.90	8	8	7	8	13		Shared breath moment
133	0.00	2.95	7	7	7	7	14		Shared breath moment
140	0.00	3.00	6	6	7	6	15		Shared breath moment
147	0.00	3.05	6	6	7	7	16		Shared breath moment
154	0.00	3.10	7	7	6	7	16		Internal fire (no shared breath)
161	0.00	3.15	7	8	7	8	17		Shared breath moment
168	0.00	3.20	7	8	8	8	17		Internal fire (no shared breath)
175	0.00	3.25	8	8	8	7	18		Shared breath moment
