beta_S	2.0
s_S	15
b_0	0.0

Day	M1_x	M1_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	6	5	8	6	0		
7	0.00	2.05	6	5	8	6	0		
14	0.00	2.10	6	5	8	6	0		
21	0.00	2.15	6	5	8	6	0		
28	0.00	2.20	6	5	8	6	0		
35	0.00	2.25	6	5	7	6	0		
42	0.00	2.30	6	6	7	6	1		Shared breath moment
49	0.00	2.35	7	6	6	6	1		Internal fire (no shared breath)
56	0.00	2.40	7	7	6	8	2		Shared breath moment
63	0.00	2.45	7	7	6	7	3		Shared breath moment
70	0.00	2.50	7	7	7	6	4		Shared breath moment
77	0.00	2.55	8	6	7	6	5		Shared breath moment
84	0.00	2.60	7	7	8	6	6		Shared breath moment
91	0.00	2.65	7	7	7	7	7		Shared breath moment
98	0.00	2.70	7	6	7	8	8		Shared breath moment
105	0.00	2.75	8	7	8	7	9		Shared breath moment
112	0.00	2.80	8	7	7	8	9		Internal fire (no shared breath)
119	0.00	2.85	7	7	7	7	10		Shared breath moment
126	0.00	2.90	8	7	7	7	11		Shared breath moment
133	0.00	2.95	8	8	7	8	12		Shared breath moment
140	0.00	3.00	8	7	7	8	13		Shared breath moment
147	0.00	3.05	8	7	8	7	14		Shared breath moment
154	0.00	3.10	8	8	8	6	15		Shared breath moment
161	0.00	3.15	7	7	7	6	15		Internal fire (no shared breath)
168	0.00	3.20	8	6	6	6	15		Internal fire (no shared breath)
175	0.00	3.25	6	6	7	6	16		Shared breath moment
