Name	M1

Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	6	7	7	6	0		Internal fire (no shared breath)
7	0.00	2.05	6	7	7	6	1		Shared breath moment
14	0.00	2.10	6	7	7	6	2		Shared breath moment
21	0.00	2.15	6	7	7	6	3		Shared breath moment
28	0.00	2.20	6	7	7	6	4		Shared breath moment
35	0.00	2.25	6	7	8	6	5		Shared breath moment
42	0.00	2.30	6	6	8	6	6		Shared breath moment
49	0.00	2.35	6	6	8	6	6		Internal fire (no shared breath)
56	0.00	2.40	7	6	8	7	7		Shared breath moment
63	0.00	2.45	7	7	8	7	8		Shared breath moment
70	0.00	2.50	6	8	7	7	9		Shared breath moment
77	0.00	2.55	7	6	7	6	10		Shared breath moment
84	0.00	2.60	6	7	8	7	11		Shared breath moment
91	0.00	2.65	6	8	7	7	12		Shared breath moment
98	0.00	2.70	6	6	8	8	13		Shared breath moment
105	0.00	2.75	7	7	7	7	14		Shared breath moment
112	0.00	2.80	8	7	6	7	15		Shared breath moment
119	0.00	2.85	7	6	5	7	15		
126	0.00	2.90	7	6	6	7	15		Internal fire (no shared breath)
133	0.00	2.95	8	6	6	7	15		Internal fire (no shared breath)
140	0.00	3.00	8	6	7	8	16		Shared breath moment
147	0.00	3.05	7	6	7	8	17		Shared breath moment
154	0.00	3.10	7	7	7	7	18		Shared breath moment
161	0.00	3.15	8	7	6	6	19		Shared breath moment
168	0.00	3.20	8	8	7	7	19		Internal fire (no shared breath)
175	0.00	3.25	8	8	8	8	20		Shared breath moment
