Name	M1

Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	override_flag	Notes
0	0.00	2.00	10	8	9	10	1		Shared breath moment
7	0.00	2.20	10	8	9	10	2		Shared breath moment
14	0.00	2.40	10	8	9	10	3		Shared breath moment
21	0.00	2.60	10	8	9	10	4		Shared breath moment
28	0.00	2.80	10	8	9	10	5		Shared breath moment
35	0.00	3.00	10	9	9	10	6		Shared breath moment
42	0.00	3.20	10	9	9	9	7		Shared breath moment
49	0.00	3.40	10	10	9	9	8		Shared breath moment
56	0.00	3.60	10	10	10	8	9		Shared breath moment
63	0.00	3.80	10	10	10	9	10		Shared breath moment
70	0.00	4.00	10	10	9	9	11		Shared breath moment
77	0.00	4.20	10	9	10	9	12		Shared breath moment
84	0.00	4.40	9	10	10	10	13		Shared breath moment
91	0.00	4.60	9	9	9	9	14		Shared breath moment
98	0.00	4.80	10	9	9	9	15		Shared breath moment
105	0.00	5.00	9	9	9	9	16		Shared breath moment
112	0.00	5.20	9	10	9	9	17		Shared breath moment
119	0.00	5.40	9	9	10	9	18		Shared breath moment
126	0.00	5.60	9	9	10	9	18		Internal fire (no shared breath)
133	0.00	5.80	9	9	9	10	19		Shared breath moment
140	0.00	6.00	9	10	10	10	20		Shared breath moment
147	0.00	6.20	8	9	9	9	21		Shared breath moment
154	0.00	6.40	9	9	9	9	22		Shared breath moment
161	0.00	6.60	9	8	9	8	23		Shared breath moment
168	0.00	6.80	10	9	8	9	24		Shared breath moment
175	0.00	7.00	9	9	9	8	25		Shared breath moment
