sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
0,-1.5,2.0,2.5,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,122.28221028304887
0,-0.3,0.3,0.4242640687119285,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,20.751979226309576
1,-1.5,2.0,2.5,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,374.717970406708
1,-0.3,0.3,0.4242640687119285,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,63.59174829769039
2,-1.5,2.0,2.5,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,14.342968563679129
2,-0.3,0.3,0.4242640687119285,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,2.434082480093517
3,-1.5,2.0,2.5,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,18.201103245936807
3,-0.3,0.3,0.4242640687119285,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,3.0888296472668153
4,-1.5,2.0,2.5,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,41.75687304910093
4,-0.3,0.3,0.4242640687119285,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,7.086376342599614
5,-1.5,2.0,2.5,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.04142789294648584
5,-0.3,0.3,0.4242640687119285,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.007030546567855315
6,-1.5,2.0,2.5,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,4.1145276107807
6,-0.3,0.3,0.4242640687119285,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,0.698258489990956
7,-1.5,2.0,2.5,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,9.627915599174537
7,-0.3,0.3,0.4242640687119285,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,1.6339114581283336
8,-1.5,2.0,2.5,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,21.748716867974032
8,-0.3,0.3,0.4242640687119285,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,3.6908796430681656
9,-1.5,2.0,2.5,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,31.581808195960072
9,-0.3,0.3,0.4242640687119285,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,5.359610576999101
10,-1.5,2.0,2.5,0.1,0.7,0.5,0.5,0,0.4,2.1852633107968087,16.059599747810115,0.2914270167738687,0.7285675419346717
10,-0.3,0.3,0.4242640687119285,0.1,0.7,0.5,0.5,0,0.4,2.1852633107968087,16.059599747810115,0.2914270167738687,0.12364201186906096
11,-1.5,2.0,2.5,0.3,0.3,0.1,0.7,0,0.6,2.6617960497052984,16.588958757150593,0.06237336589405897,0.15593341473514744
11,-0.3,0.3,0.4242640687119285,0.3,0.3,0.1,0.7,0,0.6,2.6617960497052984,16.588958757150593,0.06237336589405897,0.026462777993471295
12,-1.5,2.0,2.5,0.9,0.5,0.7,0.5,10,0.0,0.4914634373768949,7.858560476945518,10.57029978134178,26.42574945335445
12,-0.3,0.3,0.4242640687119285,0.9,0.5,0.7,0.5,10,0.0,0.4914634373768949,7.858560476945518,10.57029978134178,4.4845983927368716
13,-1.5,2.0,2.5,0.5,0.1,0.9,0.3,10,0.0,0.6553314448428937,3.5544541040591566,0.2790213843212603,0.6975534608031507
13,-0.3,0.3,0.4242640687119285,0.5,0.1,0.9,0.3,10,0.0,0.6553314448428937,3.5544541040591566,0.2790213843212603,0.11837874776977259
14,-1.5,2.0,2.5,0.7,0.9,0.5,0.1,20,0.8,3.0171413823294055,37.689161848152324,5.569044630828374,13.922611577070935
14,-0.3,0.3,0.4242640687119285,0.7,0.9,0.5,0.1,20,0.8,3.0171413823294055,37.689161848152324,5.569044630828374,2.362745533913566
15,-1.5,2.0,2.5,0.9,0.5,0.9,0.7,40,0.4,2.0421773995595567,18.804678390152578,247.35849379468118,618.396234486703
15,-0.3,0.3,0.4242640687119285,0.9,0.5,0.9,0.7,40,0.4,2.0421773995595567,18.804678390152578,247.35849379468118,104.94532100778576
16,-1.5,2.0,2.5,0.3,0.9,0.1,0.9,20,0.6,2.436880874433667,25.412748696759156,3.8301706847187718,9.57542671179693
16,-0.3,0.3,0.4242640687119285,0.3,0.9,0.1,0.9,20,0.6,2.436880874433667,25.412748696759156,3.8301706847187718,1.6250037985599393
17,-1.5,2.0,2.5,0.5,0.3,0.7,0.1,0,0.0,0.41396758127097083,5.135538943131282,0.08177437900127522,0.20443594750318805
17,-0.3,0.3,0.4242640687119285,0.5,0.3,0.7,0.1,0,0.0,0.41396758127097083,5.135538943131282,0.08177437900127522,0.03469393075147231
18,-1.5,2.0,2.5,0.7,0.9,0.1,0.5,10,0.0,0.5424149856794915,6.462180164451352,1.107181192936914,2.767952982342285
18,-0.3,0.3,0.4242640687119285,0.7,0.9,0.1,0.5,10,0.0,0.5424149856794915,6.462180164451352,1.107181192936914,0.46973719771674183
19,-1.5,2.0,2.5,0.3,0.7,0.5,0.1,20,0.0,0.33244612355449077,4.2695770696717235,0.11367444089945834,0.2841861022486459
19,-0.3,0.3,0.4242640687119285,0.3,0.7,0.5,0.1,20,0.0,0.33244612355449077,4.2695770696717235,0.11367444089945834,0.04822798080455785
20,-1.5,2.0,2.5,0.7,0.3,0.5,0.1,40,0.0,0.7988702425244709,4.3339050713764244,0.18177249087490055,0.4544312271872514
20,-0.3,0.3,0.4242640687119285,0.7,0.3,0.5,0.1,40,0.0,0.7988702425244709,4.3339050713764244,0.18177249087490055,0.0771195365584872
21,-1.5,2.0,2.5,0.3,0.3,0.7,0.9,0,0.0,0.4197809453334862,3.7244743604561155,1.3003164448891407,3.250791112222852
21,-0.3,0.3,0.4242640687119285,0.3,0.3,0.7,0.9,0,0.0,0.4197809453334862,3.7244743604561155,1.3003164448891407,0.551677545521697
22,-1.5,2.0,2.5,0.7,0.3,0.7,0.5,10,0.0,0.6641081743059298,4.838915663596266,3.0105982541406378,7.526495635351594
22,-0.3,0.3,0.4242640687119285,0.7,0.3,0.7,0.5,10,0.0,0.6641081743059298,4.838915663596266,3.0105982541406378,1.2772886645587356
23,-1.5,2.0,2.5,0.7,0.3,0.5,0.1,0,0.6,3.016397553481437,32.39532016977205,0.14900263336848243,0.3725065834212061
23,-0.3,0.3,0.4242640687119285,0.7,0.3,0.5,0.1,0,0.6,3.016397553481437,32.39532016977205,0.14900263336848243,0.06321646348170412
24,-1.5,2.0,2.5,0.5,0.7,0.7,0.5,20,0.4,2.066724298657027,18.095010461397152,23.934880311096776,59.83720077774194
24,-0.3,0.3,0.4242640687119285,0.5,0.7,0.7,0.5,20,0.4,2.066724298657027,18.095010461397152,23.934880311096776,10.154709704918947
25,-1.5,2.0,2.5,0.7,0.7,0.1,0.1,5,0.0,0.6378450585196404,6.67608059620386,0.0534129647679667,0.13353241191991674
25,-0.3,0.3,0.4242640687119285,0.7,0.7,0.1,0.1,5,0.0,0.6378450585196404,6.67608059620386,0.0534129647679667,0.02266120175442444
26,-1.5,2.0,2.5,0.3,0.3,0.5,0.7,5,0.0,0.5583179456355072,4.304145874152045,0.516028201041712,1.29007050260428
26,-0.3,0.3,0.4242640687119285,0.3,0.3,0.5,0.7,5,0.0,0.5583179456355072,4.304145874152045,0.516028201041712,0.21893222414405375
27,-1.5,2.0,2.5,0.1,0.7,0.9,0.9,10,0.0,0.4394356762960909,6.501789149863857,3.7721745116039895,9.430436279009974
27,-0.3,0.3,0.4242640687119285,0.1,0.7,0.9,0.9,10,0.0,0.4394356762960909,6.501789149863857,3.7721745116039895,1.6003981061845405
28,-1.5,2.0,2.5,0.5,0.7,0.1,0.7,10,0.0,0.3808143570473069,7.492770942635397,0.5189583713339667,1.2973959283349168
28,-0.3,0.3,0.4242640687119285,0.5,0.7,0.1,0.7,10,0.0,0.3808143570473069,7.492770942635397,0.5189583713339667,0.22017539011426457
29,-1.5,2.0,2.5,0.7,0.5,0.1,0.5,0,0.8,2.567841949474931,22.634096508609836,0.4347580211831741,1.086895052957935
29,-0.3,0.3,0.4242640687119285,0.7,0.5,0.1,0.5,0,0.8,2.567841949474931,22.634096508609836,0.4347580211831741,0.18445220697232023
30,-1.5,2.0,2.5,0.3,0.5,0.9,0.1,20,0.0,0.3090376818077604,5.469468575917173,0.20363663146690006,0.5090915786672502
30,-0.3,0.3,0.4242640687119285,0.3,0.5,0.9,0.1,20,0.0,0.3090376818077604,5.469468575917173,0.20363663146690006,0.08639570580493855
31,-1.5,2.0,2.5,0.7,0.5,0.1,0.1,20,0.4,1.5515737045891502,12.652023676817254,0.09727941096469496,0.2431985274117374
31,-0.3,0.3,0.4242640687119285,0.7,0.5,0.1,0.1,20,0.4,1.5515737045891502,12.652023676817254,0.09727941096469496,0.041272158697781273
32,-1.5,2.0,2.5,0.9,0.5,0.5,0.5,5,0.8,3.005274186210384,29.422597115658977,13.163634452071467,32.909086130178665
32,-0.3,0.3,0.4242640687119285,0.9,0.5,0.5,0.5,5,0.8,3.005274186210384,29.422597115658977,13.163634452071467,5.584857111672358
33,-1.5,2.0,2.5,0.1,0.9,0.7,0.9,10,0.6,2.0486319328629077,31.136807397679195,8.545091489395935,21.362728723489838
33,-0.3,0.3,0.4242640687119285,0.1,0.9,0.7,0.9,10,0.6,2.0486319328629077,31.136807397679195,8.545091489395935,3.625375282806792
34,-1.5,2.0,2.5,0.1,0.7,0.7,0.9,40,0.4,2.121578160846121,19.53071847023953,13.724995925037003,34.31248981259251
34,-0.3,0.3,0.4242640687119285,0.1,0.7,0.7,0.9,40,0.4,2.121578160846121,19.53071847023953,13.724995925037003,5.823022614210838
35,-1.5,2.0,2.5,0.9,0.1,0.9,0.5,20,0.0,0.3376731280030641,4.52848509643591,1.8584273361123127,4.646068340280782
35,-0.3,0.3,0.4242640687119285,0.9,0.1,0.9,0.5,20,0.0,0.3376731280030641,4.52848509643591,1.8584273361123127,0.7884639430244805
36,-1.5,2.0,2.5,0.1,0.5,0.3,0.1,5,0.2,0.7650084174054159,3.3520806542477195,0.008766413589233362,0.021916033973083407
36,-0.3,0.3,0.4242640687119285,0.1,0.5,0.3,0.1,5,0.2,0.7650084174054159,3.3520806542477195,0.008766413589233362,0.003719274297379687
37,-1.5,2.0,2.5,0.3,0.3,0.5,0.3,5,0.2,0.6703843088771022,6.48507870497634,0.12845472001311994,0.3211368000327999
37,-0.3,0.3,0.4242640687119285,0.3,0.3,0.5,0.3,5,0.2,0.6703843088771022,6.48507870497634,0.12845472001311994,0.054498722158017855
38,-1.5,2.0,2.5,0.5,0.9,0.3,0.3,10,0.2,0.7335361592900518,7.566202762782357,1.3553294243003102,3.3883235607507753
38,-0.3,0.3,0.4242640687119285,0.5,0.9,0.3,0.3,10,0.2,0.7335361592900518,7.566202762782357,1.3553294243003102,0.5750175759986453
39,-1.5,2.0,2.5,0.3,0.1,0.7,0.9,20,0.0,0.3354704584999638,4.983919136069442,0.4203785175923687,1.0509462939809218
39,-0.3,0.3,0.4242640687119285,0.3,0.1,0.7,0.9,20,0.0,0.3354704584999638,4.983919136069442,0.4203785175923687,0.17835150027282737
40,-1.5,2.0,2.5,0.7,0.5,0.7,0.3,5,0.4,1.6983970271986903,15.426446347075766,4.02407726856568,10.0601931714142
40,-0.3,0.3,0.4242640687119285,0.7,0.5,0.7,0.3,5,0.4,1.6983970271986903,15.426446347075766,4.02407726856568,1.7072713947728593
41,-1.5,2.0,2.5,0.9,0.3,0.3,0.1,20,0.2,0.7113002803298292,4.800953207056315,0.15520022259414107,0.3880005564853527
41,-0.3,0.3,0.4242640687119285,0.9,0.3,0.3,0.1,20,0.2,0.7113002803298292,4.800953207056315,0.15520022259414107,0.06584587790278727
42,-1.5,2.0,2.5,0.7,0.9,0.1,0.9,20,0.6,3.9305036607815396,26.431629040343214,39.205379626494576,98.01344906623643
42,-0.3,0.3,0.4242640687119285,0.7,0.9,0.1,0.9,20,0.6,3.9305036607815396,26.431629040343214,39.205379626494576,16.633433875732337
43,-1.5,2.0,2.5,0.9,0.7,0.5,0.7,40,0.2,0.5581501741505976,4.61478236470623,31.77835156298906,79.44587890747265
43,-0.3,0.3,0.4242640687119285,0.9,0.7,0.5,0.7,40,0.2,0.5581501741505976,4.61478236470623,31.77835156298906,13.482412731071811
44,-1.5,2.0,2.5,0.1,0.5,0.7,0.3,5,0.8,2.36866734866274,17.02182416542994,0.33257359309058104,0.8314339827264526
44,-0.3,0.3,0.4242640687119285,0.1,0.5,0.7,0.3,5,0.8,2.36866734866274,17.02182416542994,0.33257359309058104,0.14109902575075522
45,-1.5,2.0,2.5,0.1,0.7,0.9,0.1,5,0.2,0.378218521335543,4.251214490822976,0.11157402299223187,0.2789350574805797
45,-0.3,0.3,0.4242640687119285,0.1,0.7,0.9,0.1,5,0.2,0.378218521335543,4.251214490822976,0.11157402299223187,0.04733684895724256
46,-1.5,2.0,2.5,0.1,0.9,0.9,0.1,40,0.8,3.2234414924687043,25.490001560694747,3.7025045645615253,9.256261411403813
46,-0.3,0.3,0.4242640687119285,0.1,0.9,0.9,0.1,40,0.8,3.2234414924687043,25.490001560694747,3.7025045645615253,1.57083965098536
47,-1.5,2.0,2.5,0.7,0.3,0.5,0.9,0,0.8,2.2321452810138327,16.15006605054382,6.913204495054946,17.283011237637364
47,-0.3,0.3,0.4242640687119285,0.7,0.3,0.5,0.9,0,0.8,2.2321452810138327,16.15006605054382,6.913204495054946,2.9330242669096047
48,-1.5,2.0,2.5,0.1,0.7,0.9,0.7,5,0.2,0.5458079375584162,5.367358853902829,2.464738280807079,6.161845702017698
48,-0.3,0.3,0.4242640687119285,0.1,0.7,0.9,0.7,5,0.2,0.5458079375584162,5.367358853902829,2.464738280807079,1.045699891325255
49,-1.5,2.0,2.5,0.1,0.9,0.3,0.3,40,0.6,2.090608019544089,24.36531536566178,0.6203007580612655,1.5507518951531638
49,-0.3,0.3,0.4242640687119285,0.1,0.9,0.3,0.3,40,0.6,2.090608019544089,24.36531536566178,0.6203007580612655,0.2631713234401661
50,-1.5,2.0,2.5,0.3,0.5,0.3,0.1,40,0.8,2.3258688541628594,16.764218685010746,0.3137415295365479,0.7843538238413696
50,-0.3,0.3,0.4242640687119285,0.3,0.5,0.3,0.1,40,0.8,2.3258688541628594,16.764218685010746,0.3137415295365479,0.1331092578450795
51,-1.5,2.0,2.5,0.3,0.1,0.7,0.5,20,0.6,2.776339852413044,31.08220546105883,0.5563569208994462,1.3908923022486155
51,-0.3,0.3,0.4242640687119285,0.3,0.1,0.7,0.5,20,0.6,2.776339852413044,31.08220546105883,0.5563569208994462,0.2360422509168396
52,-1.5,2.0,2.5,0.1,0.9,0.5,0.5,40,0.6,2.7722052756015483,39.029764095597855,3.8796936321918016,9.699234080479505
52,-0.3,0.3,0.4242640687119285,0.1,0.9,0.5,0.5,40,0.6,2.7722052756015483,39.029764095597855,3.8796936321918016,1.646014605749454
53,-1.5,2.0,2.5,0.3,0.5,0.7,0.9,40,0.6,2.2015560027548533,15.455545641288744,43.35877169380545,108.39692923451364
53,-0.3,0.3,0.4242640687119285,0.3,0.5,0.7,0.9,40,0.6,2.2015560027548533,15.455545641288744,43.35877169380545,18.395568893165496
54,-1.5,2.0,2.5,0.5,0.3,0.5,0.1,5,0.8,3.6897506219389093,15.581798393395646,0.2497123339330426,0.6242808348326065
54,-0.3,0.3,0.4242640687119285,0.5,0.3,0.5,0.1,5,0.8,3.6897506219389093,15.581798393395646,0.2497123339330426,0.10594397080198442
55,-1.5,2.0,2.5,0.3,0.5,0.1,0.7,5,0.8,2.696673208906395,38.41620379639268,0.25291766648993763,0.632294166224844
55,-0.3,0.3,0.4242640687119285,0.3,0.5,0.1,0.7,5,0.8,2.696673208906395,38.41620379639268,0.25291766648993763,0.10730387823414751
56,-1.5,2.0,2.5,0.7,0.1,0.9,0.9,0,0.6,2.3548790875594454,33.76536879102146,4.867632377001857,12.169080942504642
56,-0.3,0.3,0.4242640687119285,0.7,0.1,0.9,0.9,0,0.6,2.3548790875594454,33.76536879102146,4.867632377001857,2.065161517260724
57,-1.5,2.0,2.5,0.5,0.1,0.5,0.7,5,0.0,0.6882064803709984,4.704017701265089,0.3065124692257584,0.766281173064396
57,-0.3,0.3,0.4242640687119285,0.5,0.1,0.5,0.7,5,0.0,0.6882064803709984,4.704017701265089,0.3065124692257584,0.13004222730466006
58,-1.5,2.0,2.5,0.9,0.7,0.1,0.9,0,0.4,1.154685803253899,19.025529066795666,3.9852803217294968,9.963200804323742
58,-0.3,0.3,0.4242640687119285,0.9,0.7,0.1,0.9,0,0.4,1.154685803253899,19.025529066795666,3.9852803217294968,1.6908112442545398
59,-1.5,2.0,2.5,0.7,0.1,0.9,0.5,10,0.0,0.32674264837368444,7.792707484415992,0.9148564239420188,2.2871410598550472
59,-0.3,0.3,0.4242640687119285,0.7,0.1,0.9,0.5,10,0.0,0.32674264837368444,7.792707484415992,0.9148564239420188,0.3881407087088859
60,-1.5,2.0,2.5,0.5,0.7,0.1,0.7,20,0.4,1.7395384866577075,10.832844111952596,2.530694599870158,6.326736499675395
60,-0.3,0.3,0.4242640687119285,0.5,0.7,0.1,0.7,20,0.4,1.7395384866577075,10.832844111952596,2.530694599870158,1.0736827876082191
61,-1.5,2.0,2.5,0.9,0.5,0.7,0.1,20,0.4,1.3190918425363434,19.461945428816904,2.514007849685632,6.28501962421408
61,-0.3,0.3,0.4242640687119285,0.9,0.5,0.7,0.1,20,0.4,1.3190918425363434,19.461945428816904,2.514007849685632,1.0666031990813527
62,-1.5,2.0,2.5,0.1,0.9,0.9,0.3,5,0.2,0.5207652506866884,7.438520913791499,0.8782485832633566,2.1956214581583917
62,-0.3,0.3,0.4242640687119285,0.1,0.9,0.9,0.3,5,0.2,0.5207652506866884,7.438520913791499,0.8782485832633566,0.3726093172757986
63,-1.5,2.0,2.5,0.5,0.5,0.3,0.7,0,0.2,0.7184819371186869,7.334343526554207,1.0259783168545424,2.5649457921363563
63,-0.3,0.3,0.4242640687119285,0.5,0.5,0.3,0.7,0,0.2,0.7184819371186869,7.334343526554207,1.0259783168545424,0.4352857351189244
64,-1.5,2.0,2.5,0.9,0.3,0.1,0.3,10,0.2,0.37330241084601273,5.566630843461964,0.10519621689226961,0.26299054223067403
64,-0.3,0.3,0.4242640687119285,0.9,0.3,0.1,0.3,10,0.2,0.37330241084601273,5.566630843461964,0.10519621689226961,0.04463097499181681
65,-1.5,2.0,2.5,0.5,0.9,0.1,0.7,0,0.0,0.5959443694106421,4.751091233501567,0.7223980249384115,1.8059950623460288
65,-0.3,0.3,0.4242640687119285,0.5,0.9,0.1,0.7,0,0.0,0.5959443694106421,4.751091233501567,0.7223980249384115,0.3064875252898317
66,-1.5,2.0,2.5,0.7,0.5,0.9,0.7,10,0.2,0.753177192547368,3.5559874115307566,36.91659106526964,92.2914776631741
66,-0.3,0.3,0.4242640687119285,0.7,0.5,0.9,0.7,10,0.2,0.753177192547368,3.5559874115307566,36.91659106526964,15.662383128325725
67,-1.5,2.0,2.5,0.5,0.9,0.9,0.3,20,0.2,0.6704869304553341,6.835974265542859,13.187617063362234,32.969042658405584
67,-0.3,0.3,0.4242640687119285,0.5,0.9,0.9,0.3,20,0.2,0.6704869304553341,6.835974265542859,13.187617063362234,5.595032071916916
68,-1.5,2.0,2.5,0.1,0.1,0.5,0.9,20,0.0,0.487435289761852,4.428560431409304,0.05675667033480236,0.1418916758370059
68,-0.3,0.3,0.4242640687119285,0.1,0.1,0.5,0.9,20,0.0,0.487435289761852,4.428560431409304,0.05675667033480236,0.024079815882784864
69,-1.5,2.0,2.5,0.1,0.9,0.3,0.7,40,0.8,2.0863198239011522,37.27857784245178,2.656036633812152,6.64009158453038
69,-0.3,0.3,0.4242640687119285,0.1,0.9,0.3,0.7,40,0.8,2.0863198239011522,37.27857784245178,2.656036633812152,1.1268609089090782
70,-1.5,2.0,2.5,0.9,0.5,0.7,0.9,20,0.4,2.0431166846599713,10.754345470897693,229.75504578925674,574.3876144731419
70,-0.3,0.3,0.4242640687119285,0.9,0.5,0.7,0.9,20,0.4,2.0431166846599713,10.754345470897693,229.75504578925674,97.4768105336455
71,-1.5,2.0,2.5,0.1,0.1,0.1,0.9,10,0.0,0.7576271708345532,7.793512037039231,0.005899470863415603,0.014748677158539008
