time_unit,days
gamma_self_0,-5+0j
day,v,r,f,a,S,notes
0,0,0,0,0,0,Initial condition: cautious but higher love
7,1,-2,-2,-2,-2,First date: feels pressure - pulls back
14,0,0,1,1,0,Early wobble: guarded - tests boundaries
21,5,5,3,3,3,Repair begins: warms as M1 slows pace
28,5,6,5,5,5,Shared rhythm: enjoys honesty - love rises
35,6,7,6,6,6,Repair complete: feels safe - more engaged
42,7,8,7,7,7,Stable connection: agency rises
49,8,9,8,8,8,Steady connection: participates actively
56,9,9,9,9,9,Higher plateau: feels secure
60,10,10,10,9,10,Outcome: stable relationship - stronger love
