name,Ann
time_unit,days
gamma_self_0,-5+0j
day,v,r,f,a,S,notes,marker,locked
0,0.0,0.0,0.0,0.0,0.0,Initial condition: cautious but higher love,,
7,1.0,-2.0,-2.0,-2.0,-2.0,First date: feels pressure - pulls back,,
14,0.0,0.0,1.0,1.0,0.0,Early wobble: guarded - tests boundaries,,
21,5.0,5.0,3.0,3.0,3.0,Repair begins: warms as M1 slows pace,,
28,5.0,6.0,5.0,5.0,5.0,Shared rhythm: enjoys honesty - love rises,,
35,6.0,7.0,6.0,6.0,6.0,Repair complete: feels safe - more engaged,,
42,-5.221,8.0,7.0,7.0,7.0,Stable connection: agency rises,,
49,8.0,9.0,8.0,8.0,8.0,Steady connection: participates actively,,
56,9.0,9.0,9.0,9.0,9.0,Higher plateau: feels secure,,
60,10.0,10.0,10.0,9.0,10.0,Outcome: stable relationship - stronger love,,
