day,v,r,f,a,S,notes
1,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
2,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
3,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
4,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
5,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
6,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
7,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
8,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
9,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
10,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
11,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
12,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
13,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
14,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
15,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
16,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
17,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
18,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
19,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
20,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
21,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
22,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
23,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
24,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
25,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
26,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
27,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
28,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
29,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
30,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
31,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
32,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
33,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
34,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
35,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
36,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
37,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
38,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
39,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
40,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
41,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
42,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
43,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
44,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
45,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
46,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
47,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
48,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
49,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
50,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
51,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
52,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
53,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
54,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
55,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
56,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
57,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
58,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
59,3.0,-2.0,2.0,1.0,1.0,style mismatch (odd day)
60,-2.0,3.0,2.0,1.0,1.0,style mismatch (even day)
