step,v,r,f,a,S,notes
1,0.0,0.0,0.0,0.0,2.0,silence with presence
2,0.0,0.0,0.0,0.0,2.0,silence with presence
3,0.0,0.0,0.0,0.0,2.0,silence with presence
4,0.0,0.0,0.0,0.0,2.0,silence with presence
5,0.0,0.0,0.0,0.0,2.0,silence with presence
6,0.0,0.0,0.0,0.0,2.0,silence with presence
7,0.0,0.0,0.0,0.0,2.0,silence with presence
8,0.0,0.0,0.0,0.0,2.0,silence with presence
9,0.0,0.0,0.0,0.0,2.0,silence with presence
10,0.0,0.0,0.0,0.0,2.0,silence with presence
11,0.0,0.0,0.0,0.0,2.0,silence with presence
12,0.0,0.0,0.0,0.0,2.0,silence with presence
13,0.0,0.0,0.0,0.0,2.0,silence with presence
14,0.0,0.0,0.0,0.0,2.0,silence with presence
15,0.0,0.0,0.0,0.0,2.0,silence with presence
16,0.0,0.0,0.0,0.0,2.0,silence with presence
17,0.0,0.0,0.0,0.0,2.0,silence with presence
18,0.0,0.0,0.0,0.0,2.0,silence with presence
19,0.0,0.0,0.0,0.0,2.0,silence with presence
20,0.0,0.0,0.0,0.0,2.0,silence with presence
21,0.0,0.0,0.0,0.0,2.0,silence with presence
22,0.0,0.0,0.0,0.0,2.0,silence with presence
23,0.0,0.0,0.0,0.0,2.0,silence with presence
24,0.0,0.0,0.0,0.0,2.0,silence with presence
25,0.0,0.0,0.0,0.0,2.0,silence with presence
26,0.0,0.0,0.0,0.0,2.0,silence with presence
27,0.0,0.0,0.0,0.0,2.0,silence with presence
28,0.0,0.0,0.0,0.0,2.0,silence with presence
29,0.0,0.0,0.0,0.0,2.0,silence with presence
30,0.0,0.0,0.0,0.0,2.0,silence with presence
31,0.0,0.0,0.0,0.0,2.0,silence with presence
32,0.0,0.0,0.0,0.0,2.0,silence with presence
33,0.0,0.0,0.0,0.0,2.0,silence with presence
34,0.0,0.0,0.0,0.0,2.0,silence with presence
35,0.0,0.0,0.0,0.0,2.0,silence with presence
36,0.0,0.0,0.0,0.0,2.0,silence with presence
37,0.0,0.0,0.0,0.0,2.0,silence with presence
38,0.0,0.0,0.0,0.0,2.0,silence with presence
39,0.0,0.0,0.0,0.0,2.0,silence with presence
40,0.0,0.0,0.0,0.0,2.0,silence with presence
41,0.0,0.0,0.0,0.0,2.0,silence with presence
42,0.0,0.0,0.0,0.0,2.0,silence with presence
43,0.0,0.0,0.0,0.0,2.0,silence with presence
44,0.0,0.0,0.0,0.0,2.0,silence with presence
45,0.0,0.0,0.0,0.0,2.0,silence with presence
46,0.0,0.0,0.0,0.0,2.0,silence with presence
47,0.0,0.0,0.0,0.0,2.0,silence with presence
48,0.0,0.0,0.0,0.0,2.0,silence with presence
49,0.0,0.0,0.0,0.0,2.0,silence with presence
50,0.0,0.0,0.0,0.0,2.0,silence with presence
51,0.0,0.0,0.0,0.0,2.0,silence with presence
52,0.0,0.0,0.0,0.0,2.0,silence with presence
53,0.0,0.0,0.0,0.0,2.0,silence with presence
54,0.0,0.0,0.0,0.0,2.0,silence with presence
55,0.0,0.0,0.0,0.0,2.0,silence with presence
56,0.0,0.0,0.0,0.0,2.0,silence with presence
57,0.0,0.0,0.0,0.0,2.0,silence with presence
58,0.0,0.0,0.0,0.0,2.0,silence with presence
59,0.0,0.0,0.0,0.0,2.0,silence with presence
60,0.0,0.0,0.0,0.0,2.0,silence with presence
61,0.0,0.0,0.0,0.0,2.0,silence with presence
62,0.0,0.0,0.0,0.0,2.0,silence with presence
63,0.0,0.0,0.0,0.0,2.0,silence with presence
64,0.0,0.0,0.0,0.0,2.0,silence with presence
65,0.0,0.0,0.0,0.0,2.0,silence with presence
66,0.0,0.0,0.0,0.0,2.0,silence with presence
67,0.0,0.0,0.0,0.0,2.0,silence with presence
68,0.0,0.0,0.0,0.0,2.0,silence with presence
69,0.0,0.0,0.0,0.0,2.0,silence with presence
70,0.0,0.0,0.0,0.0,2.0,silence with presence
71,0.0,0.0,0.0,0.0,2.0,silence with presence
72,0.0,0.0,0.0,0.0,2.0,silence with presence
73,0.0,0.0,0.0,0.0,2.0,silence with presence
74,0.0,0.0,0.0,0.0,2.0,silence with presence
75,0.0,0.0,0.0,0.0,2.0,silence with presence
76,0.0,0.0,0.0,0.0,2.0,silence with presence
77,0.0,0.0,0.0,0.0,2.0,silence with presence
78,0.0,0.0,0.0,0.0,2.0,silence with presence
79,0.0,0.0,0.0,0.0,2.0,silence with presence
80,0.0,0.0,0.0,0.0,2.0,silence with presence
81,0.0,0.0,0.0,0.0,2.0,silence with presence
82,0.0,0.0,0.0,0.0,2.0,silence with presence
83,0.0,0.0,0.0,0.0,2.0,silence with presence
84,0.0,0.0,0.0,0.0,2.0,silence with presence
85,0.0,0.0,0.0,0.0,2.0,silence with presence
86,0.0,0.0,0.0,0.0,2.0,silence with presence
87,0.0,0.0,0.0,0.0,2.0,silence with presence
88,0.0,0.0,0.0,0.0,2.0,silence with presence
89,0.0,0.0,0.0,0.0,2.0,silence with presence
90,0.0,0.0,0.0,0.0,2.0,silence with presence
