name,Slow Burn
time_unit,days
day,v,r,f,a,S,notes,marker,locked
0,2,1,2,1,0,"Initial meeting: cautious and reserved",,*
7,2,2,2,2,1,"Getting to know each other slowly",,
14,3,2,3,2,1,"Small steps forward",,
21,3,3,3,3,2,"Building comfort gradually",star,
28,4,3,4,3,2,"Trust beginning to form",,
35,4,4,4,4,3,"Opening up more",,
42,5,4,5,4,3,"Genuine connection emerging",,
49,5,5,5,5,4,"Feeling safe together",,
56,6,5,6,5,4,"Love developing naturally",,
63,6,6,6,6,5,"Steady deepening bond",,
70,7,6,7,6,5,"Commitment solidifying",,
77,7,7,7,7,6,"Strong foundation built",star,*
