step,v,r,f,a,S,notes
1,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
2,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
3,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
4,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
5,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
6,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
7,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
8,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
9,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
10,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
11,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
12,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
13,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
14,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
15,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
16,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
17,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
18,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
19,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
20,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
21,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
22,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
23,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
24,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
25,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
26,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
27,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
28,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
29,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
30,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
31,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
32,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
33,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
34,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
35,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
36,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
37,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
38,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
39,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
40,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
41,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
42,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
43,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
44,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
45,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
46,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
47,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
48,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
49,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
50,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
51,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
52,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
53,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
54,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
55,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
56,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
57,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
58,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
59,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
60,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
61,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
62,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
63,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
64,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
65,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
66,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
67,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
68,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
69,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
70,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
71,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
72,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
73,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
74,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
75,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
76,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
77,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
78,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
79,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
80,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
81,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
82,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
83,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
84,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
85,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
86,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
87,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
88,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
89,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
90,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
91,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
92,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
93,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
94,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
95,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
96,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
97,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
98,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
99,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
100,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
101,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
102,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
103,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
104,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
105,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
106,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
107,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
108,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
109,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
110,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
111,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
112,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
113,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
114,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
115,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
116,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
117,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
118,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
119,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
120,9.0,9.5,9.8,9.0,3.0,soul-bond devotion
