step,v,r,f,a,S,notes
1,3.0,4.0,5.0,2.0,1.0,baseline positive
2,3.0,4.0,5.0,2.0,1.0,baseline positive
3,3.0,4.0,5.0,2.0,1.0,baseline positive
4,3.0,4.0,5.0,2.0,1.0,baseline positive
5,3.0,4.0,5.0,2.0,1.0,baseline positive
6,3.0,4.0,5.0,2.0,1.0,baseline positive
7,3.0,4.0,5.0,2.0,1.0,baseline positive
8,3.0,4.0,5.0,2.0,1.0,baseline positive
9,3.0,4.0,5.0,2.0,1.0,baseline positive
10,3.0,4.0,5.0,2.0,1.0,baseline positive
11,3.0,4.0,5.0,2.0,1.0,baseline positive
12,3.0,4.0,5.0,2.0,1.0,baseline positive
13,3.0,4.0,5.0,2.0,1.0,baseline positive
14,3.0,4.0,5.0,2.0,1.0,baseline positive
15,3.0,4.0,5.0,2.0,1.0,baseline positive
16,3.0,4.0,5.0,2.0,1.0,baseline positive
17,3.0,4.0,5.0,2.0,1.0,baseline positive
18,3.0,4.0,5.0,2.0,1.0,baseline positive
19,3.0,4.0,5.0,2.0,1.0,baseline positive
20,3.0,4.0,5.0,2.0,1.0,baseline positive
21,3.0,4.0,5.0,2.0,1.0,baseline positive
22,3.0,4.0,5.0,2.0,1.0,baseline positive
23,3.0,4.0,5.0,2.0,1.0,baseline positive
24,3.0,4.0,5.0,2.0,1.0,baseline positive
25,3.0,4.0,5.0,2.0,1.0,baseline positive
26,3.0,4.0,5.0,2.0,1.0,baseline positive
27,3.0,4.0,5.0,2.0,1.0,baseline positive
28,3.0,4.0,5.0,2.0,1.0,baseline positive
29,3.0,4.0,5.0,2.0,1.0,baseline positive
30,3.0,4.0,5.0,2.0,1.0,baseline positive
