day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
1,0.0,0.0,0.0,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
2,0.29,1.1700000000000002,1.2054044964243333,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
3,0.58,2.3400000000000003,2.4108089928486667,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
4,0.8699999999999999,3.5100000000000007,3.616213489273,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
5,1.16,4.680000000000001,4.821617985697333,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
6,1.45,5.8500000000000005,6.027022482121666,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
7,1.74,7.0200000000000005,7.232426978545999,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
8,2.03,8.190000000000001,8.437831474970332,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
9,2.32,9.360000000000001,9.643235971394667,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
10,2.61,10.530000000000001,10.848640467819,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
11,2.9,11.700000000000001,12.054044964243332,3.0,2.0,-4.0,1.0,0.0,0.3,0.2,-0.4,0.1,0.0,betrayal event (trust rupture)
12,3.1399999999999997,3.281087625744801,4.541490505089233,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair (atonement)
13,3.3999999999999995,3.661087625744801,4.996354931685869,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
14,3.6599999999999993,4.041087625744801,5.452154546502488,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
15,3.919999999999999,4.421087625744801,5.908672930067613,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
16,4.179999999999999,4.801087625744801,6.3657554453560214,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
17,4.439999999999999,5.181087625744801,6.823288722137287,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
18,4.699999999999998,5.5610876257448005,7.2811877864268775,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
19,4.959999999999998,5.9410876257448,7.739387713299934,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
20,5.219999999999998,6.3210876257448,8.197838054776637,2.0,1.0,1.0,1.0,2.0,0.2,0.1,0.1,0.1,0.2,early repair
21,5.479999999999998,6.7010876257448,8.656499024889337,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
22,5.819999999999998,7.4610876257448,9.462569870761438,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
23,6.1599999999999975,8.2210876257448,10.272871154169815,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
24,6.499999999999997,8.9810876257448,11.08647531640721,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
25,6.839999999999997,9.7410876257448,11.90270507626054,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
26,7.179999999999997,10.5010876257448,12.721055039719406,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
27,7.519999999999997,11.2610876257448,13.541140812896918,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
28,7.859999999999997,12.0210876257448,14.362665062788128,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
29,8.199999999999998,12.7810876257448,15.185394328003696,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
30,8.539999999999997,13.5410876257448,16.00914282802483,3.0,3.0,2.0,2.0,2.0,0.3,0.3,0.2,0.2,0.2,repair strengthening
31,8.879999999999997,14.301087625744799,16.833760936856358,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
32,9.219999999999997,15.2810876257448,17.84712971392573,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
33,9.559999999999997,16.2610876257448,18.86310077299463,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
34,9.899999999999997,17.2410876257448,19.881275173353707,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
35,10.239999999999997,18.2210876257448,20.90133092090239,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
36,10.579999999999997,19.2010876257448,21.923005405544423,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
37,10.919999999999996,20.1810876257448,22.94608240545627,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
38,11.259999999999996,21.161087625744802,23.970382339554988,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
39,11.599999999999996,22.141087625744802,24.995754864594698,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
40,11.939999999999996,23.121087625744803,26.02207318791816,3.0,4.0,3.0,2.0,2.0,0.3,0.4,0.3,0.2,0.2,gradual return
41,12.279999999999996,24.101087625744803,27.04922965157842,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
42,12.619999999999996,25.201087625744805,28.18437896283095,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
43,12.959999999999996,26.301087625744806,29.320791433675634,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
44,13.299999999999995,27.401087625744807,30.458325677452216,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
45,13.639999999999995,28.50108762574481,31.5968605378823,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
46,13.979999999999995,29.60108762574481,32.73629161384995,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
47,14.319999999999995,30.70108762574481,33.87652847332001,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
48,14.659999999999995,31.801087625744813,35.017492402802056,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
49,14.999999999999995,32.901087625744815,36.15911457650669,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
50,15.339999999999995,34.001087625744816,37.30133455700449,3.0,4.0,4.0,2.0,2.0,0.3,0.4,0.4,0.2,0.2,trust rebuilding
51,15.679999999999994,35.10108762574482,38.44409905967645,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
52,16.019999999999996,36.321087625744816,39.69712592010954,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
53,16.359999999999996,37.541087625744815,40.95098118633851,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
54,16.699999999999996,38.761087625744814,42.2055910269086,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
55,17.039999999999996,39.98108762574481,43.46089009370937,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
56,17.379999999999995,41.20108762574481,44.71682034250984,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
57,17.719999999999995,42.42108762574481,45.97333004418017,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
58,18.059999999999995,43.64108762574481,47.230372951713356,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
59,18.399999999999995,44.86108762574481,48.48790759524228,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
60,18.739999999999995,46.08108762574481,49.745896682757376,3.0,4.0,5.0,2.0,2.0,0.3,0.4,0.5,0.2,0.2,full recovery baseline
