Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,33.28411713622988,2.0,16.64205856811494,1.0
7,M1,31.80975274681757,2.05,16.64205856811494,0.9323938199059483
14,M1,30.382612407377966,2.1,16.64205856811494,0.8693582353988059
21,M1,29.00304956602835,2.15,16.64205856811494,0.8105842459701871
28,M1,27.67115403829749,2.2,16.64205856811494,0.7557837414557255
35,M1,32.46224169749048,2.25,20.270110336525455,0.7117703227626097
42,M1,34.04462991902528,2.3,22.08200858054732,0.6703200460356393
0,M1,33.77555095836659,2.0,16.719739305558697,1.010050167084168
7,M1,39.07296544003087,2.05,20.03720937405061,0.951229424500714
14,M1,44.65007809425665,2.1,23.734239533759396,0.8958341352965282
21,M1,50.44046842866758,2.15,27.808061363428564,0.8436648165963837
28,M1,56.37210249401123,2.2,32.24996761759458,0.7945336025033339
35,M1,62.3697915865294,2.25,37.04564617718121,0.7482635675785652
42,M1,83.02129836645062,2.3,51.22296971909064,0.7046880897187134
