Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,59.35608688335729,2.0,29.382741975434534,1.010050167084168
7,M1,66.46383695396365,2.05,34.08366377753691,0.951229424500714
14,M1,72.40417446336406,2.1,38.48723436339596,0.8958341352965282
21,M1,77.11340460544973,2.15,42.51297329333478,0.8436648165963837
28,M1,80.61753378579654,2.2,46.120558556042525,0.7945336025033339
35,M1,68.6999661784044,2.25,40.80556587877328,0.7482635675785652
42,M1,69.8482381192592,2.3,43.09537740932837,0.7046880897187134
0,M1,59.25011489725332,2.0,29.33028320182238,1.010050167084168
7,M1,66.3451750748552,2.05,34.022812165952345,0.951229424500714
14,M1,63.36860759160178,2.1,34.022812165952345,0.8869204367171575
21,M1,60.49127185860833,2.15,34.022812165952345,0.8269591339433623
28,M1,59.934762998731664,2.2,34.980799560694294,0.7788007830714049
35,M1,63.87954310189391,2.25,38.70887704196048,0.7334469562242892
42,M1,60.884466566768666,2.3,38.70887704196048,0.6838614092123558
