Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,103.64177526774715,2.0,51.820887633873575,1.0
7,M1,128.06082042663328,2.2,61.80893604980988,0.9417645335842487
14,M1,153.70894811575943,2.4,72.21098127504015,0.8869204367171575
21,M1,179.8945473221333,2.6,82.83572137884467,0.835270211411272
28,M1,205.9465629070663,2.8,93.50335468115064,0.7866278610665534
35,M1,231.2532545567385,3.0,104.05308081467632,0.7408182206817179
42,M1,232.79845332370755,3.2,104.27402212906951,0.697676326071031
0,M1,113.68765301414906,2.0,56.2782209829957,1.010050167084168
7,M1,137.5942533621132,2.2,65.7494825395587,0.951229424500714
14,M1,162.16069607928225,2.4,75.42351205152028,0.8958341352965282
21,M1,186.74955310008892,2.6,85.1365966428637,0.8436648165963837
28,M1,210.77268909815592,2.8,94.74232449707208,0.7945336025033339
35,M1,234.07335541219143,3.0,104.27402212906952,0.7482635675785652
42,M1,212.50965996499718,3.2,94.239238193411,0.7046880897187134
