Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,0.14125835590091126,2.0,0.07062917795045563,1.0
7,M1,0.12183028669817828,1.85,0.07062917795045563,0.9323938199059483
14,M1,0.1043834977681498,1.7,0.07062917795045563,0.8693582353988059
21,M1,0.08873889337631957,1.55,0.07062917795045563,0.8105842459701871
28,M1,0.07473253811427262,1.4,0.07062917795045563,0.7557837414557255
35,M1,0.053891606227061434,1.25,0.06118066363071135,0.7046880897187134
42,M1,0.04421841652000696,1.1,0.06118066363071135,0.6570468198150567
0,M1,0.08858521243810631,2.0,0.044292606219053156,1.0
7,M1,0.07640158176641992,1.85,0.044292606219053156,0.9323938199059483
14,M1,0.06546044137247739,1.7,0.044292606219053156,0.8693582353988059
21,M1,0.055649477661894715,1.55,0.044292606219053156,0.8105842459701871
28,M1,0.04686588430588558,1.4,0.044292606219053156,0.7557837414557255
35,M1,0.040081805599880165,1.25,0.04550303169265075,0.7046880897187134
42,M1,0.03288738449215991,1.1,0.04550303169265075,0.6570468198150567
