Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,126.6295188307528,2.0,62.68476703306199,1.010050167084168
7,M1,162.91700851676453,2.3,74.46519224422656,0.951229424500714
14,M1,202.68809261031097,2.6,87.02164343231806,0.8958341352965282
21,M1,245.1484508987723,2.9,100.1984993599956,0.8436648165963837
28,M1,289.4211212827774,3.2,113.83294566259507,0.7945336025033339
35,M1,305.1220277725484,3.5,116.50670431923005,0.7482635675785652
42,M1,346.3336270452336,3.8,129.33442398065554,0.7046880897187134
0,M1,115.47388907971185,2.0,57.1624523428693,1.010050167084168
7,M1,148.56457439285919,2.3,67.90506217592107,0.951229424500714
14,M1,156.5886072409715,2.6,67.90506217592107,0.8869204367171575
21,M1,192.22112210221098,2.9,79.35533273776709,0.835270211411272
28,M1,230.00080503677222,3.2,91.37135249257366,0.7866278610665534
35,M1,269.15131760166435,3.5,103.80465046722648,0.7408182206817179
42,M1,281.6678875189951,3.8,106.24286008369711,0.697676326071031
