day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
1,0.0,0.0,0.0,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
2,0.29,0.14999999999999997,0.32649655434629016,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
3,0.17999999999999994,0.8,0.8200000000000001,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
4,0.4699999999999999,0.95,1.0599056561788884,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
5,0.3599999999999999,1.6,1.6400000000000001,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
6,0.6499999999999999,1.75,1.8668154702594468,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
7,0.5399999999999999,2.4000000000000004,2.4600000000000004,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
8,0.8299999999999998,2.5500000000000003,2.681678578800972,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
9,0.7199999999999999,3.2,3.2800000000000002,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
10,1.0099999999999998,3.35,3.4989426974444724,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
11,0.8999999999999998,4.0,4.1,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
12,1.1899999999999997,4.15,4.3172444915709836,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
13,1.0799999999999996,4.800000000000001,4.920000000000001,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
14,1.3699999999999997,4.950000000000001,5.136088005476543,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
15,1.2599999999999996,5.600000000000001,5.740000000000001,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
16,1.5499999999999996,5.750000000000002,5.955249784853698,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
17,1.4399999999999995,6.400000000000002,6.560000000000002,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
18,1.7299999999999995,6.5500000000000025,6.774614380169548,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
19,1.6199999999999994,7.200000000000003,7.380000000000003,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
20,1.9099999999999995,7.350000000000003,7.594116143436315,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
21,1.7999999999999994,8.000000000000004,8.200000000000003,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
22,2.0899999999999994,8.150000000000004,8.413714993984529,-2.0,3.0,2.0,1.0,1.0,-0.2,0.3,0.2,0.1,0.1,style mismatch (even day)
23,1.9799999999999993,8.800000000000004,9.020000000000003,3.0,-2.0,2.0,1.0,1.0,0.3,-0.2,0.2,0.1,0.1,style mismatch (odd day)
