day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
2,0.1,0.1,0.14142135623730953,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
3,0.2,0.2,0.28284271247461906,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
4,0.30000000000000004,0.30000000000000004,0.42426406871192857,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
5,0.4,0.4,0.5656854249492381,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
6,0.5,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
7,0.6,0.6,0.848528137423857,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
8,0.7,0.7,0.9899494936611665,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
9,0.7999999999999999,0.7999999999999999,1.131370849898476,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
10,0.8999999999999999,0.8999999999999999,1.2727922061357855,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
11,0.9999999999999999,0.9999999999999999,1.414213562373095,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
12,1.0999999999999999,1.0999999999999999,1.5556349186104044,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
13,1.2,1.2,1.697056274847714,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
14,1.3,1.3,1.8384776310850237,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
15,1.4000000000000001,1.4000000000000001,1.9798989873223334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
16,1.5000000000000002,1.5000000000000002,2.121320343559643,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
17,1.6000000000000003,1.6000000000000003,2.2627416997969525,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
18,1.7000000000000004,1.7000000000000004,2.404163056034262,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
19,1.8000000000000005,1.8000000000000005,2.545584412271572,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
