Day,M1_Name,S_M1,b_M1,M2_Name,S_M2,b_M2,beta_S,s_S,b_0
0,M1,0,0.0,M2,0,0.0,1.5,15.0,0.0
7,M1,1,0.09673952245257333,M2,-2,-0.21394621769358402,1.5,15.0,0.0
14,M1,-1,-0.10340865862086956,M2,0,0.0,1.5,15.0,0.0
21,M1,3,0.27190387038302727,M2,3,0.27190387038302727,1.5,15.0,0.0
28,M1,5,0.4252030341393161,M2,5,0.4252030341393161,1.5,15.0,0.0
35,M1,7,0.5593663720904158,M2,6,0.494519930946541,1.5,15.0,0.0
42,M1,8,0.6200306707349523,M2,7,0.5593663720904158,1.5,15.0,0.0
49,M1,9,0.6767825458589602,M2,8,0.6200306707349523,1.5,15.0,0.0
56,M1,10,0.729874321451112,M2,9,0.6767825458589602,1.5,15.0,0.0
60,M1,10,0.729874321451112,M2,10,0.729874321451112,1.5,15.0,0.0
