Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,6.7593229082188895,2.5495097567963922,2.651224569821758,1.0
7,M1,8.496010815639261,2.23606797749979,4.034481453456289,0.9417645335842487
14,M1,3.812395038427878,2.1213203435596424,2.0880255619574615,0.8607079764250578
21,M1,14.888877124846204,2.2743130831088316,7.837629015828877,0.835270211411272
28,M1,21.295383193788762,2.23606797749979,11.986384031635325,0.7945336025033339
35,M1,40.80738815588237,2.2847319317591728,23.632300613534248,0.7557837414557255
42,M1,60.13599586855713,2.340939982143925,36.09145178694167,0.7117703227626098
49,M1,88.72679938742813,2.4270609798684495,54.537084880332095,0.6703200460356393
56,M1,98.248054216827,2.5144581921360314,61.89491925057364,0.631283645506926
60,M1,140.69749382391004,2.8376927247325425,81.74632467422774,0.6065306597126334
0,M2,3.1622776601683795,3.1622776601683795,1.0,1.0
7,M2,1.0525978546368104,2.6570660511172846,0.43345761131627786,0.9139311852712282
14,M2,2.0423953263776773,1.876832437912346,1.2517440467162353,0.8693582353988059
21,M2,12.756111369146957,2.1505813167606567,7.101260435044457,0.835270211411272
28,M2,28.722175327920795,2.7313000567495327,13.235356570796698,0.7945336025033339
35,M2,42.92297270103021,2.785677655436824,20.59227508734442,0.7482635675785652
42,M2,63.44823016997584,2.8460498941515415,31.63589107657935,0.7046880897187134
49,M2,91.33857935808736,2.864000698323937,48.0553639265003,0.6636502501363194
56,M2,117.92791509021707,2.8635642126552705,65.8913037565929,0.6250022682827008
60,M2,157.3257232095222,2.8935272592460572,89.64362283264137,0.6065306597126334
