day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
1,0.0,0.0,0.0,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
2,0.8700000000000001,2.8160000000000003,2.947330317422871,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
3,1.7400000000000002,5.632000000000001,5.894660634845742,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
4,2.6100000000000003,8.448,8.841990952268613,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
5,3.4800000000000004,11.264000000000001,11.789321269691484,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
6,4.3500000000000005,14.080000000000002,14.736651587114356,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
7,5.220000000000001,16.896,17.683981904537227,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
8,6.090000000000001,19.712,20.631312221960094,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
9,6.960000000000001,22.528,23.578642539382965,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
10,7.830000000000001,25.343999999999998,26.525972856805836,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
11,8.700000000000001,28.159999999999997,29.473303174228707,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
12,9.57,30.975999999999996,32.42063349165157,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
13,10.440000000000001,33.791999999999994,35.367963809074446,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
14,11.310000000000002,36.608,38.315294126497314,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
15,12.180000000000003,39.424,41.26262444392019,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
16,13.050000000000004,42.24,44.20995476134306,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
17,13.920000000000005,45.056000000000004,47.15728507876594,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
18,14.790000000000006,47.87200000000001,50.10461539618881,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
19,15.660000000000007,50.68800000000001,53.05194571361169,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
20,16.53000000000001,53.50400000000001,55.999276031034555,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
21,17.40000000000001,56.320000000000014,58.94660634845743,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
22,18.27000000000001,59.13600000000002,61.893936665880304,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
23,19.14000000000001,61.95200000000002,64.84126698330319,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
24,20.010000000000012,64.76800000000001,67.78859730072604,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
25,20.880000000000013,67.58400000000002,70.73592761814892,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
26,21.750000000000014,70.40000000000002,73.68325793557179,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
27,22.620000000000015,73.21600000000002,76.63058825299467,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
28,23.490000000000016,76.03200000000002,79.57791857041754,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
29,24.360000000000017,78.84800000000003,82.5252488878404,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
30,25.230000000000018,81.66400000000003,85.47257920526329,9.0,9.5,9.8,9.0,3.0,0.9,0.95,0.9800000000000001,0.9,0.3,soul-bond devotion
