day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
1,0.0,0.0,0.0,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
2,0.29,1.1700000000000002,1.2054044964243333,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
3,0.58,2.3400000000000003,2.4108089928486667,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
4,0.8699999999999999,3.5100000000000007,3.616213489273,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
5,1.16,4.680000000000001,4.821617985697333,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
6,1.45,5.8500000000000005,6.027022482121666,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
7,1.74,7.0200000000000005,7.232426978545999,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
8,2.03,8.190000000000001,8.437831474970332,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
9,2.32,9.360000000000001,9.643235971394667,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
10,2.61,10.530000000000001,10.848640467819,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
11,2.9,11.700000000000001,12.054044964243332,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
12,3.19,12.870000000000001,13.259449460667664,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
13,3.48,14.040000000000001,14.464853957091998,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
14,3.77,15.21,15.67025845351633,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
15,4.06,16.380000000000003,16.875662949940665,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
16,4.35,17.550000000000004,18.081067446365,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
17,4.64,18.720000000000006,19.286471942789337,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
18,4.93,19.890000000000008,20.49187643921367,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
19,5.22,21.06000000000001,21.697280935638005,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
20,5.51,22.23000000000001,22.902685432062338,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
21,5.8,23.400000000000013,24.108089928486674,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
22,6.09,24.570000000000014,25.31349442491101,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
23,6.38,25.740000000000016,26.518898921335342,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
24,6.67,26.910000000000018,27.724303417759675,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
25,6.96,28.08000000000002,28.929707914184014,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
26,7.25,29.25000000000002,30.135112410608347,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
27,7.54,30.420000000000023,31.34051690703268,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
28,7.83,31.590000000000025,32.545921403457015,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
29,8.12,32.760000000000026,33.75132589988135,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
30,8.409999999999998,33.93000000000003,34.95673039630569,3.0,4.0,5.0,2.0,1.0,0.3,0.4,0.5,0.2,0.1,baseline positive
