day,gamma_x,gamma_y,gamma_magnitude,time_delta,entropy_drift,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes,marker
0,-5.0,0.0,5.0,0.0,0.0,5,0,2,2,0,0.5,0.0,0.2,0.2,0.0,Initial condition: eager but moderate love,
7,-4.6,0.36,4.614065452504981,7.0,0.14,5,2,2,3,1,0.5,0.2,0.2,0.3,0.1,First date: strong attraction developing,
14,-4.289221762492012,1.0152588722067282,4.407740226627422,7.0,0.14,5,-2,2,3,-1,0.5,-0.2,0.2,0.3,-0.1,Early wobble: pressing pace - M2 pulls back,
21,-4.07425883016614,1.1483130963457033,4.232990430230834,7.0,0.14,5,2,5,5,3,0.5,0.2,0.5,0.5,0.3,Repair begins: slows down and listens,
28,-3.658628379932649,2.3590088459960836,4.353215404495438,7.0,0.14,5,5,5,5,5,0.5,0.5,0.5,0.5,0.5,Shared rhythm: casual comfort - ego softens,
35,-3.1316409495496154,3.94216643643276,5.034664959005016,7.0,0.14,5,7,7,7,7,0.5,0.7,0.7,0.7,0.7,Repair complete: trust growing - balanced,
42,-2.4904430563543913,6.164063646721866,6.648156681199825,7.0,0.14,6,8,8,8,8,0.6,0.8,0.8,0.8,0.8,Stable connection: ego moderated - love rising,
49,-1.7037411131138105,8.699682266174777,8.864942487851243,7.0,0.14,7,9,9,9,9,0.7,0.9,0.9,0.9,0.9,Steady connection: playful and secure,
56,-0.7758224574581724,11.556268629822608,11.582281516614872,7.0,0.14,8,9,9,9,10,0.8,0.9,0.9,0.9,1.0,Higher plateau: feels secure,
60,0.28996653944711304,14.457555837674178,14.460463387923141,4.0,0.08,8,9,9,9,10,0.8,0.9,0.9,0.9,1.0,Outcome: stable relationship - strong love,
