2025-11-09 20:22:46,805 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 20:22:47,008 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:36:51,516 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:36:51,532 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:40:21,050 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:40:21,066 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:46:10,267 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:46:10,283 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:48:27,163 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:48:27,178 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:49:56,062 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:49:56,077 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:51:27,733 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:51:27,748 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 20:58:45,280 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 20:58:45,296 | COMPLETE | Survival: 0.0% | Avg Love: 0.0000
2025-11-09 21:03:36,617 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 21:03:36,639 | COMPLETE | Survival: 100.0% | Avg Love: 0.5725
2025-11-09 21:04:30,401 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 21:04:30,552 | COMPLETE | Survival: 100.0% | Avg Love: 0.6392
2025-11-09 21:10:47,928 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 21:10:48,012 | COMPLETE | Survival: 100.0% | Avg Love: 0.6432
2025-11-09 21:22:49,978 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 21:22:50,059 | COMPLETE | Survival: 100.0% | Avg Love: 0.6394
2025-11-09 21:31:53,165 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 21:31:53,271 | COMPLETE | Survival: 100.0% | Avg Love: 0.6446
2025-11-09 21:40:28,673 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 21:40:28,768 | COMPLETE | Survival: 100.0% | Avg Love: 0.2713
2025-11-09 22:03:18,790 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:03:18,925 | COMPLETE | Survival: 16.9% | Avg Love: 0.0424
2025-11-09 22:08:32,565 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:08:32,663 | COMPLETE | Survival: 44.1% | Avg Love: 0.0927
2025-11-09 22:11:05,808 | STRESS TEST START | Noise: 0% | Agents: 1000
2025-11-09 22:11:05,908 | COMPLETE | Survival: 0.0% | Avg Love: 0.0920
2025-11-09 22:15:36,358 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 22:15:36,379 | COMPLETE | Survival: 100.0% | Avg Love: 0.0920
2025-11-09 22:15:54,886 | STRESS TEST START | Noise: 90% | Agents: 100
2025-11-09 22:15:54,906 | COMPLETE | Survival: 81.0% | Avg Love: 0.0932
2025-11-09 22:21:44,315 | STRESS TEST START | Noise: 90% | Agents: 100
2025-11-09 22:21:44,338 | COMPLETE | Survival: 72.0% | Avg Love: 0.1015
2025-11-09 22:21:55,834 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 22:21:55,864 | COMPLETE | Survival: 100.0% | Avg Love: 0.0920
2025-11-09 22:22:02,856 | STRESS TEST START | Noise: 90% | Agents: 100
2025-11-09 22:22:02,878 | COMPLETE | Survival: 68.0% | Avg Love: 0.0891
2025-11-09 22:24:15,281 | STRESS TEST START | Noise: 90% | Agents: 100
2025-11-09 22:24:15,301 | COMPLETE | Survival: 42.0% | Avg Love: 0.0373
2025-11-09 22:24:27,896 | STRESS TEST START | Noise: 0% | Agents: 100
2025-11-09 22:24:27,917 | COMPLETE | Survival: 0.0% | Avg Love: 0.0409
2025-11-09 22:24:56,587 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:24:56,805 | COMPLETE | Survival: 39.2% | Avg Love: 0.0405
2025-11-09 22:28:42,683 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:28:42,784 | COMPLETE | Survival: 99.9% | Avg Love: 0.6424
2025-11-09 22:30:33,866 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:30:33,963 | COMPLETE | Survival: 100.0% | Avg Love: 0.6599
2025-11-09 22:42:45,305 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:42:45,411 | COMPLETE | Survival: 99.7% | Avg Love: 0.6673
2025-11-09 22:58:37,236 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 22:58:37,340 | COMPLETE | Survival: 99.6% | Avg Love: 0.6652
2025-11-09 23:01:01,037 | STRESS TEST START | Noise: 90% | Agents: 1000
2025-11-09 23:01:01,170 | COMPLETE | Survival: 98.7% | Avg Love: 0.2582
